Measures,Section,Mean,STD,Min,Median,Max,Range
FW,19,0.013,0.013,0.001,0.007,0.016,0.059
FW,20,0.028,0.01,0.011,0.027,0.036,0.057
GFA,1,0.287,0.016,0.256,0.288,0.3,0.318
GFA,2,0.313,0.016,0.265,0.314,0.323,0.343
GFA,3,0.328,0.024,0.27,0.328,0.339,0.401
GFA,4,0.361,0.026,0.318,0.355,0.368,0.43
GFA,5,0.411,0.028,0.348,0.417,0.429,0.468
GFA,6,0.398,0.034,0.326,0.394,0.426,0.471
GFA,7,0.365,0.029,0.287,0.367,0.387,0.428
GFA,8,0.414,0.043,0.319,0.409,0.441,0.495
GFA,9,0.411,0.039,0.33,0.413,0.435,0.499
GFA,10,0.402,0.028,0.351,0.396,0.414,0.467
GFA,11,0.416,0.026,0.363,0.412,0.433,0.479
GFA,12,0.391,0.032,0.316,0.389,0.415,0.46
GFA,13,0.349,0.025,0.312,0.343,0.356,0.42
GFA,14,0.347,0.027,0.285,0.346,0.36,0.41
GFA,15,0.339,0.023,0.281,0.341,0.354,0.383
GFA,16,0.332,0.023,0.274,0.333,0.345,0.386
GFA,17,0.323,0.023,0.279,0.323,0.336,0.384
GFA,18,0.309,0.019,0.276,0.306,0.322,0.353
GFA,19,0.298,0.023,0.239,0.3,0.314,0.357
GFA,20,0.258,0.015,0.23,0.257,0.269,0.288
ICVF,1,0.519,0.027,0.457,0.522,0.537,0.574
ICVF,2,0.536,0.025,0.485,0.541,0.554,0.603
ICVF,3,0.551,0.022,0.507,0.554,0.567,0.605
ICVF,4,0.571,0.024,0.52,0.571,0.59,0.622
ICVF,5,0.594,0.03,0.531,0.593,0.622,0.649
ICVF,6,0.6,0.033,0.534,0.595,0.629,0.676
ICVF,7,0.617,0.042,0.539,0.61,0.654,0.714
ICVF,8,0.635,0.04,0.557,0.635,0.665,0.742
ICVF,9,0.654,0.034,0.586,0.65,0.679,0.733
ICVF,10,0.675,0.028,0.607,0.672,0.699,0.73
ICVF,11,0.691,0.03,0.622,0.688,0.717,0.75
ICVF,12,0.701,0.031,0.634,0.701,0.719,0.779
ICVF,13,0.694,0.034,0.617,0.698,0.717,0.784
ICVF,14,0.672,0.037,0.605,0.672,0.696,0.77
ICVF,15,0.644,0.036,0.566,0.646,0.666,0.739
ICVF,16,0.629,0.034,0.552,0.629,0.656,0.718
ICVF,17,0.615,0.034,0.541,0.615,0.638,0.691
ICVF,18,0.597,0.033,0.525,0.601,0.624,0.656
ICVF,19,0.577,0.036,0.48,0.578,0.604,0.637
ICVF,20,0.522,0.026,0.47,0.522,0.545,0.572
ISOVF,1,0.045,0.013,0.024,0.043,0.051,0.086
ISOVF,2,0.049,0.01,0.029,0.047,0.056,0.072
ISOVF,3,0.051,0.012,0.031,0.049,0.058,0.088
ISOVF,4,0.058,0.012,0.028,0.056,0.065,0.097
ISOVF,5,0.068,0.012,0.036,0.068,0.073,0.105
ISOVF,6,0.082,0.013,0.048,0.08,0.09,0.119
ISOVF,7,0.09,0.016,0.054,0.088,0.101,0.129
ISOVF,8,0.085,0.015,0.048,0.085,0.096,0.134
ISOVF,9,0.083,0.014,0.044,0.084,0.092,0.109
ISOVF,10,0.08,0.011,0.055,0.081,0.088,0.105
ISOVF,11,0.081,0.011,0.06,0.081,0.09,0.106
ISOVF,12,0.082,0.012,0.046,0.082,0.09,0.112
ISOVF,13,0.077,0.012,0.039,0.078,0.084,0.104
ISOVF,14,0.073,0.012,0.036,0.073,0.081,0.098
ISOVF,15,0.069,0.011,0.037,0.07,0.076,0.099
ISOVF,16,0.069,0.013,0.037,0.069,0.08,0.098
ISOVF,17,0.069,0.013,0.038,0.07,0.077,0.102
ISOVF,18,0.068,0.013,0.04,0.069,0.077,0.096
ISOVF,19,0.064,0.013,0.031,0.063,0.073,0.093
ISOVF,20,0.045,0.01,0.02,0.046,0.051,0.067
MD,1,7.672,0.198,7.169,7.647,7.828,8.095
MD,2,7.568,0.187,7.133,7.566,7.722,7.942
MD,3,7.479,0.199,7.138,7.484,7.63,7.925
MD,4,7.413,0.195,7.017,7.383,7.569,7.812
MD,5,7.391,0.221,6.889,7.393,7.548,7.819
MD,6,7.453,0.249,6.852,7.484,7.64,7.986
MD,7,7.348,0.306,6.651,7.382,7.553,8.15
MD,8,7.212,0.282,6.728,7.222,7.39,7.903
MD,9,7.026,0.241,6.609,7.037,7.18,7.741
MD,10,6.821,0.213,6.426,6.835,6.971,7.359
MD,11,6.755,0.221,6.238,6.765,6.941,7.191
MD,12,6.665,0.21,6.189,6.659,6.832,7.069
MD,13,6.614,0.213,6.127,6.613,6.808,7.024
MD,14,6.727,0.215,6.249,6.702,6.883,7.168
MD,15,6.892,0.23,6.429,6.909,7.058,7.462
MD,16,6.999,0.217,6.601,7.017,7.135,7.521
MD,17,7.102,0.213,6.709,7.088,7.233,7.577
MD,18,7.213,0.214,6.804,7.221,7.337,7.689
MD,19,7.328,0.275,6.861,7.292,7.486,8.077
MD,20,7.592,0.204,7.167,7.589,7.753,8.052
MD-FWcorrected,1,0.074,0.001,0.071,0.074,0.075,0.076
MD-FWcorrected,2,0.074,0.001,0.07,0.074,0.075,0.076
MD-FWcorrected,3,0.073,0.001,0.07,0.073,0.074,0.076
MD-FWcorrected,4,0.073,0.001,0.07,0.073,0.074,0.075
MD-FWcorrected,5,0.073,0.002,0.069,0.073,0.074,0.076
MD-FWcorrected,6,0.073,0.002,0.068,0.073,0.074,0.076
MD-FWcorrected,7,0.072,0.002,0.066,0.073,0.074,0.076
MD-FWcorrected,8,0.071,0.002,0.067,0.072,0.073,0.075
MD-FWcorrected,9,0.07,0.002,0.066,0.07,0.071,0.074
MD-FWcorrected,10,0.068,0.002,0.064,0.068,0.07,0.072
MD-FWcorrected,11,0.067,0.002,0.062,0.068,0.069,0.071
MD-FWcorrected,12,0.067,0.002,0.062,0.067,0.068,0.071
MD-FWcorrected,13,0.066,0.002,0.061,0.066,0.068,0.07
MD-FWcorrected,14,0.067,0.002,0.062,0.067,0.069,0.071
MD-FWcorrected,15,0.068,0.002,0.064,0.069,0.07,0.072
MD-FWcorrected,16,0.069,0.002,0.066,0.07,0.071,0.073
MD-FWcorrected,17,0.07,0.002,0.067,0.07,0.072,0.074
MD-FWcorrected,18,0.071,0.002,0.068,0.072,0.073,0.075
MD-FWcorrected,19,0.072,0.002,0.069,0.072,0.074,0.076
MD-FWcorrected,20,0.073,0.001,0.07,0.074,0.074,0.076
MTR,1,21.63,0.724,19.538,21.665,22.074,23.926
MTR,2,22.28,0.622,20.876,22.302,22.707,24.226
MTR,3,22.466,0.596,20.908,22.528,22.859,24.094
MTR,4,22.806,0.559,21.638,22.755,23.106,24.994
MTR,5,23.139,0.602,21.891,23.078,23.569,25.248
MTR,6,23.281,0.714,21.654,23.198,23.827,25.313
MTR,7,23.1,0.746,21.566,23.141,23.557,25.435
MTR,8,23.495,0.807,21.656,23.478,24.005,25.838
MTR,9,23.822,0.76,22.108,23.767,24.352,26.076
MTR,10,23.733,0.68,22.297,23.727,24.108,26.109
MTR,11,23.645,0.655,22.465,23.654,23.944,25.747
MTR,12,23.508,0.613,22.402,23.535,23.834,25.329
MTR,13,23.353,0.659,21.623,23.305,23.695,25.292
MTR,14,23.019,0.748,21.167,22.945,23.377,25.332
MTR,15,22.63,0.753,20.829,22.558,23.06,25.147
MTR,16,22.482,0.661,20.992,22.44,22.892,24.604
MTR,17,22.408,0.65,21.197,22.352,22.773,24.264
MTR,18,22.264,0.617,21.016,22.212,22.505,23.889
MTR,19,21.937,0.557,20.719,21.872,22.322,23.587
MTR,20,20.588,0.565,18.816,20.585,20.924,22.098
MTsat,1,3.407,0.176,2.525,3.414,3.521,3.842
MTsat,2,3.515,0.162,2.786,3.518,3.62,3.899
MTsat,3,3.525,0.16,2.703,3.523,3.624,3.854
MTsat,4,3.547,0.15,3.005,3.551,3.64,3.905
MTsat,5,3.492,0.141,3.088,3.484,3.59,3.945
MTsat,6,3.405,0.144,3.117,3.413,3.473,3.833
MTsat,7,3.377,0.182,2.983,3.344,3.507,3.826
MTsat,8,3.556,0.237,3.163,3.496,3.716,4.199
MTsat,9,3.731,0.232,3.269,3.675,3.895,4.252
MTsat,10,3.798,0.211,3.407,3.782,3.94,4.339
MTsat,11,3.826,0.199,3.276,3.798,3.947,4.394
MTsat,12,3.851,0.198,3.474,3.839,3.998,4.361
MTsat,13,3.852,0.201,3.356,3.849,3.966,4.419
MTsat,14,3.782,0.209,3.278,3.786,3.903,4.373
MTsat,15,3.722,0.195,3.362,3.722,3.819,4.267
MTsat,16,3.716,0.172,3.1,3.713,3.815,4.173
MTsat,17,3.716,0.166,3.263,3.705,3.83,4.144
MTsat,18,3.715,0.158,3.364,3.71,3.824,4.111
MTsat,19,3.726,0.158,3.161,3.706,3.82,4.11
MTsat,20,3.545,0.164,2.798,3.547,3.64,3.94
NuFO,1,2.094,0.175,1.633,2.075,2.23,2.473
NuFO,2,2.107,0.163,1.735,2.105,2.21,2.538
NuFO,3,2.085,0.205,1.598,2.08,2.177,2.663
NuFO,4,1.97,0.154,1.617,1.983,2.067,2.315
NuFO,5,1.834,0.124,1.62,1.84,1.934,2.072
NuFO,6,1.942,0.139,1.662,1.968,2.051,2.174
NuFO,7,2.197,0.087,1.916,2.203,2.25,2.372
NuFO,8,2.155,0.123,1.764,2.188,2.235,2.377
NuFO,9,2.3,0.137,1.979,2.279,2.409,2.607
NuFO,10,2.434,0.121,2.165,2.435,2.523,2.691
NuFO,11,2.412,0.135,2.13,2.431,2.499,2.689
NuFO,12,2.468,0.122,2.217,2.496,2.567,2.687
NuFO,13,2.488,0.091,2.275,2.505,2.561,2.674
NuFO,14,2.4,0.103,2.156,2.401,2.454,2.652
NuFO,15,2.333,0.106,2.092,2.332,2.399,2.576
NuFO,16,2.334,0.113,2.116,2.313,2.419,2.591
NuFO,17,2.355,0.094,2.136,2.354,2.413,2.589
NuFO,18,2.364,0.093,2.074,2.381,2.422,2.597
NuFO,19,2.385,0.114,2.083,2.373,2.465,2.666
NuFO,20,2.345,0.221,1.521,2.368,2.506,2.664
OD,1,0.302,0.015,0.266,0.301,0.314,0.335
OD,2,0.265,0.02,0.219,0.263,0.278,0.31
OD,3,0.253,0.027,0.2,0.254,0.27,0.331
OD,4,0.219,0.022,0.158,0.22,0.234,0.253
OD,5,0.174,0.024,0.129,0.172,0.193,0.22
OD,6,0.182,0.029,0.128,0.18,0.204,0.249
OD,7,0.222,0.029,0.144,0.219,0.243,0.301
OD,8,0.181,0.043,0.096,0.18,0.204,0.303
OD,9,0.201,0.038,0.128,0.192,0.229,0.287
OD,10,0.22,0.035,0.157,0.219,0.241,0.324
OD,11,0.205,0.03,0.152,0.199,0.224,0.287
OD,12,0.259,0.047,0.186,0.251,0.288,0.417
OD,13,0.321,0.03,0.253,0.322,0.337,0.399
OD,14,0.304,0.029,0.237,0.305,0.325,0.374
OD,15,0.295,0.026,0.241,0.289,0.315,0.361
OD,16,0.293,0.023,0.25,0.293,0.307,0.353
OD,17,0.294,0.02,0.246,0.297,0.307,0.339
OD,18,0.3,0.02,0.26,0.299,0.315,0.349
OD,19,0.297,0.017,0.256,0.297,0.307,0.331
OD,20,0.318,0.014,0.279,0.319,0.326,0.355
RD,1,6.15,0.236,5.583,6.137,6.327,6.666
RD,2,5.886,0.206,5.429,5.845,6.033,6.421
RD,3,5.711,0.268,4.98,5.742,5.867,6.335
RD,4,5.423,0.274,4.753,5.483,5.637,5.797
RD,5,5.119,0.305,4.554,5.058,5.359,5.8
RD,6,5.305,0.362,4.597,5.353,5.519,6.138
RD,7,5.544,0.383,4.732,5.545,5.805,6.63
RD,8,5.196,0.422,4.374,5.314,5.485,6.192
RD,9,5.107,0.363,4.316,5.116,5.372,5.853
RD,10,5.003,0.249,4.411,5.012,5.155,5.625
RD,11,4.815,0.232,4.184,4.832,4.964,5.337
RD,12,4.981,0.251,4.455,5.002,5.161,5.542
RD,13,5.237,0.24,4.612,5.277,5.425,5.673
RD,14,5.288,0.264,4.69,5.3,5.437,5.79
RD,15,5.41,0.269,4.95,5.401,5.607,5.996
RD,16,5.504,0.253,5.028,5.485,5.663,6.133
RD,17,5.628,0.256,4.971,5.603,5.828,6.234
RD,18,5.777,0.259,5.282,5.796,5.917,6.299
RD,19,5.892,0.338,5.348,5.86,6.062,6.87
RD,20,6.253,0.228,5.806,6.267,6.449,6.7
RD-FWcorrected,1,0.059,0.002,0.055,0.058,0.06,0.062
RD-FWcorrected,2,0.057,0.001,0.053,0.057,0.058,0.061
RD-FWcorrected,3,0.055,0.002,0.049,0.056,0.057,0.06
RD-FWcorrected,4,0.053,0.002,0.047,0.053,0.054,0.056
RD-FWcorrected,5,0.05,0.003,0.045,0.05,0.052,0.056
RD-FWcorrected,6,0.052,0.003,0.046,0.052,0.053,0.057
RD-FWcorrected,7,0.054,0.003,0.047,0.054,0.056,0.061
RD-FWcorrected,8,0.051,0.004,0.044,0.052,0.054,0.058
RD-FWcorrected,9,0.051,0.003,0.043,0.051,0.053,0.057
RD-FWcorrected,10,0.05,0.002,0.044,0.05,0.051,0.055
RD-FWcorrected,11,0.048,0.002,0.042,0.048,0.05,0.053
RD-FWcorrected,12,0.05,0.002,0.045,0.05,0.051,0.055
RD-FWcorrected,13,0.052,0.002,0.046,0.053,0.054,0.056
RD-FWcorrected,14,0.053,0.003,0.047,0.053,0.054,0.057
RD-FWcorrected,15,0.054,0.002,0.049,0.053,0.055,0.059
RD-FWcorrected,16,0.054,0.002,0.05,0.054,0.056,0.06
RD-FWcorrected,17,0.056,0.002,0.049,0.055,0.057,0.061
RD-FWcorrected,18,0.057,0.002,0.053,0.057,0.058,0.061
RD-FWcorrected,19,0.058,0.002,0.053,0.058,0.059,0.064
RD-FWcorrected,20,0.06,0.001,0.057,0.06,0.061,0.063
ihMTR,1,6.693,0.761,4.493,6.817,7.226,8.554
ihMTR,2,7.214,0.716,5.225,7.373,7.653,9.254
ihMTR,3,7.564,0.682,6.113,7.64,8.039,9.566
ihMTR,4,8.136,0.643,6.765,8.14,8.533,10.336
ihMTR,5,9.012,0.723,7.056,9.09,9.56,11.326
ihMTR,6,9.708,0.732,7.507,9.767,10.223,11.351
ihMTR,7,9.473,0.818,7.21,9.456,9.943,12.127
ihMTR,8,9.17,0.793,6.465,9.109,9.605,11.806
ihMTR,9,9.197,0.836,6.223,9.178,9.575,11.953
ihMTR,10,9.231,0.799,6.798,9.123,9.634,11.776
ihMTR,11,9.083,0.808,6.582,9.015,9.471,11.742
ihMTR,12,9.034,0.811,6.332,8.935,9.473,11.623
ihMTR,13,8.779,0.761,6.08,8.726,9.185,10.556
ihMTR,14,8.406,0.791,5.623,8.369,8.837,10.149
ihMTR,15,8.079,0.802,5.624,8.028,8.608,9.832
ihMTR,16,7.778,0.828,4.976,7.814,8.193,9.588
ihMTR,17,7.598,0.82,5.297,7.567,8.083,9.646
ihMTR,18,7.376,0.799,4.794,7.388,7.88,9.382
ihMTR,19,7.173,0.682,4.857,7.168,7.484,9.137
ihMTR,20,6.216,0.518,4.595,6.183,6.551,7.685
ihMTsat,1,0.089,0.01,0.059,0.09,0.095,0.111
ihMTsat,2,0.096,0.01,0.071,0.097,0.102,0.136
ihMTsat,3,0.101,0.009,0.067,0.101,0.106,0.136
ihMTsat,4,0.107,0.009,0.087,0.107,0.113,0.149
ihMTsat,5,0.116,0.011,0.085,0.116,0.122,0.162
ihMTsat,6,0.121,0.012,0.088,0.121,0.126,0.158
ihMTsat,7,0.116,0.012,0.09,0.117,0.122,0.149
ihMTsat,8,0.118,0.011,0.084,0.117,0.125,0.153
ihMTsat,9,0.124,0.012,0.084,0.124,0.131,0.161
ihMTsat,10,0.128,0.012,0.094,0.128,0.136,0.162
ihMTsat,11,0.128,0.012,0.093,0.126,0.135,0.161
ihMTsat,12,0.129,0.013,0.09,0.128,0.136,0.163
ihMTsat,13,0.126,0.013,0.088,0.124,0.134,0.167
ihMTsat,14,0.12,0.014,0.08,0.119,0.127,0.158
ihMTsat,15,0.115,0.014,0.082,0.113,0.122,0.153
ihMTsat,16,0.111,0.014,0.072,0.109,0.118,0.143
ihMTsat,17,0.108,0.013,0.077,0.107,0.116,0.134
ihMTsat,18,0.105,0.013,0.072,0.104,0.114,0.137
ihMTsat,19,0.104,0.012,0.071,0.103,0.109,0.135
ihMTsat,20,0.09,0.009,0.056,0.089,0.095,0.112
